ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.199666558582140397e+01,1.200038389088970376e+02,0.000000000000000000e+00,9.037092693295436518e+00,-4.281466530616143906e+00,0.000000000000000000e+00
3.199667378035071508e+01,1.200038344911825163e+02,0.000000000000000000e+00,9.146071611027950965e+00,-4.043435925787448149e+00,0.000000000000000000e+00
3.199668207062110881e+01,1.200038303266950521e+02,0.000000000000000000e+00,9.248782285942080961e+00,-3.802634116930523778e+00,0.000000000000000000e+00
3.199669045095086517e+01,1.200038264182887957e+02,0.000000000000000000e+00,9.345154313351693887e+00,-3.559226160226997671e+00,0.000000000000000000e+00
3.199669891559652868e+01,1.200038227686424790e+02,0.000000000000000000e+00,9.435121640734976722e+00,-3.313378883335636349e+00,0.000000000000000000e+00
3.199670745875685540e+01,1.200038193802573971e+02,0.000000000000000000e+00,9.518622607676617164e+00,-3.065260780525465911e+00,0.000000000000000000e+00
3.199671607457678491e+01,1.200038162554558596e+02,0.000000000000000000e+00,9.595599986356425859e+00,-2.815041900547230025e+00,0.000000000000000000e+00
3.199672475715147257e+01,1.200038133963794849e+02,0.000000000000000000e+00,9.666001020183935921e+00,-2.562893731273914621e+00,0.000000000000000000e+00
3.199673350053030418e+01,1.200038108049877508e+02,0.000000000000000000e+00,9.729777459761491443e+00,-2.308989082589437469e+00,0.000000000000000000e+00
3.199674229872101705e+01,1.200038084830567726e+02,0.000000000000000000e+00,9.786885595888328737e+00,-2.053501968100726494e+00,0.000000000000000000e+00
3.199675114569375722e+01,1.200038064321779245e+02,0.000000000000000000e+00,9.837286289495800418e+00,-1.796607485929502035e+00,0.000000000000000000e+00
3.199676003538526103e+01,1.200038046537567737e+02,0.000000000000000000e+00,9.880944998464565643e+00,-1.538481698727053093e+00,0.000000000000000000e+00
3.199676896170297269e+01,1.200038031490122847e+02,0.000000000000000000e+00,9.917831801295815097e+00,-1.279301513016145808e+00,0.000000000000000000e+00
3.199677791852924003e+01,1.200038019189757676e+02,0.000000000000000000e+00,9.947921417617276774e+00,-1.019244557950395480e+00,0.000000000000000000e+00
3.199678689972550671e+01,1.200038009644902530e+02,0.000000000000000000e+00,9.971193225508882207e+00,-7.584890635769043765e-01,0.000000000000000000e+00
