ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.078042233788701523e-03,1.665501392407009885e-03,1.499770142160017627e+01
3.082627126991421829e-03,1.657436646619744923e-03,1.499771254653005848e+01
3.087190891990638977e-03,1.649359920868889370e-03,1.499772254601168697e+01
3.091733497132113841e-03,1.641271271111693778e-03,1.499773153257181058e+01
3.096254910946821988e-03,1.633170753330022689e-03,1.499773960748457924e+01
3.100755102147032330e-03,1.625058423535577891e-03,1.499774686189682349e+01
3.105234039622802120e-03,1.616934337774572411e-03,1.499775337784077145e+01
3.109691692438858353e-03,1.608798552131906643e-03,1.499775922914553306e+01
3.114128029831820903e-03,1.600651122734901913e-03,1.499776448225737546e+01
3.118543021207737919e-03,1.592492105756619213e-03,1.499776919697804978e+01
3.122936636139885327e-03,1.584321557418824069e-03,1.499777342712920714e+01
3.127308844366826976e-03,1.576139533994612039e-03,1.499777722115043410e+01
3.131659615790685983e-03,1.567946091810744954e-03,1.499778062263743550e+01
3.135988920475622516e-03,1.559741287249711119e-03,1.499778367082645048e+01
3.140296728646475941e-03,1.551525176751558481e-03,1.499778640103016691e+01
3.144583010687587808e-03,1.543297816815493613e-03,1.499778884503011689e+01
3.148847737141746705e-03,1.535059264001292475e-03,1.499779103142974357e+01
3.153090878709273199e-03,1.526809574930532501e-03,1.499779298597225541e+01
3.157312406247220118e-03,1.518548806287665746e-03,1.499779473182662670e+01
3.161512290768663924e-03,1.510277014820951081e-03,1.499779628984501834e+01
3.165690503442099724e-03,1.501994257343248693e-03,1.499779767879447689e+01
3.169847015590918689e-03,1.493700590732700102e-03,1.499779891556542566e+01
3.173981798692949649e-03,1.485396071933303653e-03,1.499780001535934026e+01
3.178094824380080924e-03,1.477080757955394168e-03,1.499780099185763937e+01
3.182186064437920320e-03,1.468754705876041929e-03,1.499780185737369109e+01
3.186255490805531883e-03,1.460417972839362115e-03,1.499780262298961908e+01
3.190303075575205618e-03,1.452070616056761777e-03,1.499780329867942541e+01
3.194328790992271867e-03,1.443712692807124377e-03,1.499780389341979969e+01
3.198332609454956465e-03,1.435344260436932510e-03,1.499780441528986508e+01
3.202314503514264079e-03,1.426965376360344023e-03,1.499780487156090736e+01
3.206274445873900578e-03,1.418576098059217598e-03,1.499780526877719389e+01
3.210212409390213184e-03,1.410176483083099095e-03,1.499780561282864966e+01
3.214128367072160552e-03,1.401766589049171889e-03,1.499780590901629296e+01
3.218022292081302357e-03,1.393346473642162334e-03,1.499780616211113937e+01
3.221894157731810572e-03,1.384916194614229604e-03,1.499780637640719938e+01
3.225743937490492021e-03,1.376475809784815643e-03,1.499780655576916111e+01
3.229571604976829140e-03,1.368025377040481012e-03,1.499780670367535151e+01
3.233377133963037230e-03,1.359564954334704099e-03,1.499780682325634551e+01
3.237160498374132538e-03,1.351094599687670999e-03,1.499780691732976479e+01
3.240921672288005553e-03,1.342614371186044145e-03,1.499780698843154703e+01
3.244660629935510777e-03,1.334124326982708388e-03,1.499780703884414379e+01
3.248377345700559967e-03,1.325624525296509489e-03,1.499780707062185137e+01
3.252071794120227084e-03,1.317115024411975692e-03,1.499780708561361564e+01
3.255743949884857148e-03,1.308595882679030415e-03,1.499780708548360764e+01
3.259393787838175960e-03,1.300067158512683034e-03,1.499780707172964433e+01
3.263021282977415435e-03,1.291528910392725086e-03,1.499780704569987400e+01
3.266626410453437202e-03,1.282981196863401977e-03,1.499780700860772065e+01
3.270209145570856200e-03,1.274424076533089674e-03,1.499780696154535775e+01
3.273769463788178593e-03,1.265857608073950574e-03,1.499780690549583717e+01
3.277307340717928400e-03,1.257281850221598921e-03,1.499780684134399067e+01
3.280822752126791048e-03,1.248696861774742156e-03,1.499780676988627803e+01
3.284315673935746943e-03,1.240102701594825510e-03,1.499780669183958537e+01
3.287786082220214151e-03,1.231499428605679859e-03,1.499780660784922048e+01
3.291233953210187611e-03,1.222887101793147888e-03,1.499780651849605384e+01
3.294659263290388752e-03,1.214265780204714599e-03,1.499780642430295430e+01
3.298061989000401241e-03,1.205635522949136508e-03,1.499780632574060490e+01
3.301442107034821462e-03,1.196996389196064350e-03,1.499780622323270762e+01
3.304799594243399471e-03,1.188348438175662082e-03,1.499780611716069956e+01
3.308134427631189041e-03,1.179691729178222216e-03,1.499780600786796825e+01
3.311446584358692085e-03,1.171026321553779405e-03,1.499780589566364419e+01
3.314736041742001333e-03,1.162352274711726417e-03,1.499780578082605054e+01
3.318002777252951688e-03,1.153669648120413636e-03,1.499780566360577261e+01
3.321246768519262905e-03,1.144978501306771757e-03,1.499780554422842549e+01
3.324467993324684879e-03,1.136278893855902821e-03,1.499780542289716756e+01
3.327666429609146825e-03,1.127570885410687741e-03,1.499780529979492627e+01
3.330842055468895193e-03,1.118854535671391431e-03,1.499780517508644273e+01
3.333994849156645020e-03,1.110129904395262086e-03,1.499780504892006938e+01
3.337124789081720444e-03,1.101397051396129810e-03,1.499780492142942379e+01
3.340231853810196952e-03,1.092656036543999606e-03,1.499780479273485767e+01
3.343316022065049697e-03,1.083906919764658465e-03,1.499780466294477854e+01
3.346377272726288807e-03,1.075149761039257724e-03,1.499780453215685583e+01
3.349415584831102067e-03,1.066384620403920810e-03,1.499780440045908669e+01
3.352430937574001069e-03,1.057611557949324948e-03,1.499780426793075883e+01
3.355423310306952615e-03,1.048830633820302177e-03,1.499780413464332973e+01
3.358392682539524006e-03,1.040041908215429307e-03,1.499780400066120833e+01
3.361339033939015307e-03,1.031245441386614402e-03,1.499780386604245841e+01
3.364262344330604636e-03,1.022441293638691288e-03,1.499780373083943275e+01
3.367162593697476097e-03,1.013629525329009075e-03,1.499780359509935224e+01
3.370039762180958125e-03,1.004810196867017991e-03,1.499780345886479260e+01
3.372893830080660529e-03,9.959833687138580378e-04,1.499780332217419243e+01
3.375724777854603731e-03,9.871491013819528454e-04,1.499780318506222621e+01
3.378532586119354069e-03,9.783074554345851017e-04,1.499780304756020577e+01
3.381317235650155208e-03,9.694584914854943117e-04,1.499780290969640717e+01
3.384078707381053472e-03,9.606022701984550435e-04,1.499780277149637442e+01
3.386816982405034884e-03,9.517388522868676414e-04,1.499780263298318594e+01
3.389532041974150072e-03,9.428682985133356046e-04,1.499780249417772993e+01
3.392223867499639597e-03,9.339906696892607456e-04,1.499780235509887660e+01
3.394892440552061894e-03,9.251060266744198096e-04,1.499780221576373229e+01
3.397537742861422502e-03,9.162144303765473816e-04,1.499780207618776728e+01
3.400159756317292468e-03,9.073159417509233477e-04,1.499780193638501302e+01
3.402758462968933240e-03,8.984106217999521162e-04,1.499780179636819888e+01
3.405333845025420702e-03,8.894985315727469343e-04,1.499780165614886585e+01
3.407885884855764002e-03,8.805797321647113865e-04,1.499780151573751041e+01
3.410414564989028285e-03,8.716542847171175308e-04,1.499780137514366629e+01
3.412919868114450053e-03,8.627222504166941197e-04,1.499780123437602875e+01
3.415401777081559891e-03,8.537836904951999657e-04,1.499780109344250079e+01
3.417860274900293496e-03,8.448386662290077167e-04,1.499780095235029975e+01
3.420295344741110938e-03,8.358872389386878474e-04,1.499780081110602659e+01
3.422706969935111580e-03,8.269294699885793151e-04,1.499780066971570847e+01
3.425095133974145108e-03,8.179654207863795148e-04,1.499780052818487341e+01
3.427459820510927319e-03,8.089951527827115739e-04,1.499780038651859826e+01
3.429801013359147673e-03,8.000187274707148488e-04,1.499780024472154238e+01
3.432118696493583788e-03,7.910362063856147142e-04,1.499780010279800102e+01
3.434412854050204657e-03,7.820476511043077464e-04,1.499779996075194077e+01
3.436683470326287737e-03,7.730531232449296694e-04,1.499779981858702449e+01
3.438930529780518264e-03,7.640526844664432497e-04,1.499779967630664501e+01
3.441154017033094641e-03,7.550463964682123125e-04,1.499779953391396248e+01
3.443353916865840320e-03,7.460343209895730493e-04,1.499779939141191321e+01
3.445530214222302257e-03,7.370165198094198516e-04,1.499779924880324167e+01
3.447682894207851952e-03,7.279930547457746665e-04,1.499779910609051647e+01
3.449811942089792572e-03,7.189639876553632902e-04,1.499779896327613926e+01
3.451917343297454793e-03,7.099293804332012028e-04,1.499779882036238021e+01
3.453999083422296980e-03,7.008892950121521897e-04,1.499779867735137984e+01
3.456057148218004502e-03,6.918437933625201392e-04,1.499779853424515608e+01
3.458091523600585575e-03,6.827929374916109169e-04,1.499779839104562740e+01
3.460102195648467535e-03,6.737367894433167904e-04,1.499779824775463233e+01
3.462089150602591387e-03,6.646754112976879531e-04,1.499779810437389749e+01
3.464052374866506776e-03,6.556088651705032884e-04,1.499779796090509620e+01
3.465991855006462629e-03,6.465372132128468802e-04,1.499779781734983253e+01
3.467907577751501696e-03,6.374605176106837648e-04,1.499779767370963768e+01
3.469799529993545552e-03,6.283788405844312371e-04,1.499779752998599847e+01
3.471667698787488706e-03,6.192922443885328677e-04,1.499779738618034486e+01
3.473512071351284470e-03,6.102007913110320866e-04,1.499779724229406774e+01
3.475332635066031694e-03,6.011045436731444645e-04,1.499779709832852070e+01
3.477129377476066274e-03,5.920035638288278276e-04,1.499779695428501647e+01
3.478902286289034442e-03,5.828979141643596349e-04,1.499779681016483401e+01
3.480651349375987313e-03,5.737876570979040568e-04,1.499779666596922567e+01
3.482376554771456339e-03,5.646728550790898948e-04,1.499779652169942423e+01
3.484077890673540484e-03,5.555535705885755998e-04,1.499779637735662696e+01
3.485755345443981683e-03,5.464298661376276256e-04,1.499779623294201336e+01
3.487408907608246806e-03,5.373018042676819782e-04,1.499779608845675938e+01
3.489038565855602687e-03,5.281694475499312423e-04,1.499779594390200543e+01
3.490644309039196789e-03,5.190328585848762643e-04,1.499779579927887951e+01
3.492226126176130926e-03,5.098921000019133965e-04,1.499779565458850428e+01
3.493784006447535426e-03,5.007472344588945277e-04,1.499779550983197929e+01
3.495317939198643292e-03,4.915983246417012084e-04,1.499779536501040944e+01
3.496827913938864787e-03,4.824454332638180719e-04,1.499779522012487121e+01
3.498313920341855534e-03,4.732886230658927564e-04,1.499779507517644461e+01
3.499775948245586760e-03,4.641279568153189750e-04,1.499779493016619369e+01
3.501213987652413828e-03,4.549634973057952456e-04,1.499779478509518782e+01
3.502628028729151688e-03,4.457953073568970644e-04,1.499779463996447504e+01
3.504018061807129963e-03,4.366234498136522244e-04,1.499779449477510518e+01
3.505384077382265370e-03,4.274479875461060499e-04,1.499779434952812629e+01
3.506726066115126335e-03,4.182689834488830536e-04,1.499779420422457754e+01
3.508044018830995883e-03,4.090865004407651280e-04,1.499779405886549277e+01
3.509337926519929315e-03,3.999006014642603581e-04,1.499779391345190405e+01
3.510607780336822293e-03,3.907113494851613715e-04,1.499779376798483810e+01
3.511853571601467657e-03,3.815188074921242343e-04,1.499779362246531988e+01
3.513075291798613969e-03,3.723230384962355295e-04,1.499779347689437969e+01
3.514272932578020158e-03,3.631241055305740135e-04,1.499779333127303538e+01
3.515446485754519703e-03,3.539220716497791584e-04,1.499779318560230834e+01
3.516595943308073544e-03,3.447169999296279333e-04,1.499779303988321466e+01
3.517721297383815185e-03,3.355089534665920705e-04,1.499779289411676508e+01
3.518822540292120080e-03,3.262979953774068241e-04,1.499779274830397746e+01
3.519899664508641633e-03,3.170841887986466674e-04,1.499779260244586787e+01
3.520952662674374511e-03,3.078675968862833721e-04,1.499779245654344706e+01
3.521981527595697582e-03,2.986482828152560681e-04,1.499779231059772400e+01
3.522986252244426388e-03,2.894263097790350688e-04,1.499779216460971476e+01
3.523966829757856078e-03,2.802017409891975142e-04,1.499779201858042121e+01
3.524923253438811289e-03,2.709746396749851795e-04,1.499779187251085766e+01
3.525855516755689936e-03,2.617450690828739923e-04,1.499779172640203484e+01
3.526763613342513096e-03,2.525130924761401891e-04,1.499779158025494930e+01
3.527647536998953625e-03,2.432787731344265804e-04,1.499779143407062243e+01
3.528507281690395573e-03,2.340421743533087882e-04,1.499779128785005433e+01
3.529342841547962809e-03,2.248033594438616199e-04,1.499779114159425042e+01
3.530154210868563687e-03,2.155623917322246820e-04,1.499779099530422144e+01
3.530941384114925311e-03,2.063193345591645799e-04,1.499779084898097459e+01
3.531704355915639502e-03,1.970742512796515094e-04,1.499779070262551173e+01
3.532443121065186216e-03,1.878272052624139208e-04,1.499779055623884361e+01
3.533157674523979518e-03,1.785782598895083618e-04,1.499779040982197742e+01
3.533848011418398802e-03,1.693274785558844954e-04,1.499779026337590793e+01
3.534514127040815686e-03,1.600749246689501723e-04,1.499779011690165653e+01
