q0 (),q1,q2,q3
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
9.238795325112867385e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.826834323650897818e-01
