ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
7.072918770746890793e+00,-7.069216368340716095e+00,0.000000000000000000e+00
7.076434256974834192e+00,-7.065697290905762706e+00,0.000000000000000000e+00
7.081445420629250975e+00,-7.060674950360553481e+00,0.000000000000000000e+00
7.087799473718749077e+00,-7.054296465300577523e+00,0.000000000000000000e+00
7.095358272620159390e+00,-7.046693620639446820e+00,0.000000000000000000e+00
7.103997002564113039e+00,-7.037984554370668278e+00,0.000000000000000000e+00
7.113602962041110978e+00,-7.028275243503196990e+00,0.000000000000000000e+00
7.124074443582047778e+00,-7.017660815563910859e+00,0.000000000000000000e+00
7.135319706421517694e+00,-7.006226708232665246e+00,0.000000000000000000e+00
7.147256035965131815e+00,-6.994049696446257514e+00,0.000000000000000000e+00
7.159808884662981043e+00,-6.981198803579584222e+00,0.000000000000000000e+00
7.172911088770770327e+00,-6.967736111004012578e+00,0.000000000000000000e+00
7.186502155504137512e+00,-6.953717478366114868e+00,0.000000000000000000e+00
7.200527615218941691e+00,-6.939193185267969355e+00,0.000000000000000000e+00
7.214938433449242794e+00,-6.924208503615195909e+00,0.000000000000000000e+00
7.229690477881053567e+00,-6.908804208691692317e+00,0.000000000000000000e+00
7.244744035615726219e+00,-6.893017035987242025e+00,0.000000000000000000e+00
7.260063376368034227e+00,-6.876880089918653738e+00,0.000000000000000000e+00
7.275616357540696022e+00,-6.860423209823593105e+00,0.000000000000000000e+00
7.291374067412009552e+00,-6.843673297949840695e+00,0.000000000000000000e+00
7.307310502960522314e+00,-6.826654613595360743e+00,0.000000000000000000e+00
7.323402279127403602e+00,-6.809389037062835826e+00,0.000000000000000000e+00
7.339628366580318364e+00,-6.791896306664989780e+00,0.000000000000000000e+00
7.355969855291006887e+00,-6.774194231644823816e+00,0.000000000000000000e+00
7.372409741471404487e+00,-6.756298883549893830e+00,0.000000000000000000e+00
7.388932735630068471e+00,-6.738224768315046020e+00,0.000000000000000000e+00
7.405525089711705533e+00,-6.719984981058397366e+00,0.000000000000000000e+00
7.422174441468275319e+00,-6.701591345375744524e+00,0.000000000000000000e+00
7.438869674381079378e+00,-6.683054538725054172e+00,0.000000000000000000e+00
7.455600791610143219e+00,-6.664384205321764121e+00,0.000000000000000000e+00
7.472358802590778559e+00,-6.645589057814521361e+00,0.000000000000000000e+00
7.489135621028352396e+00,-6.626676968876955343e+00,0.000000000000000000e+00
7.505923973162017759e+00,-6.607655053732126582e+00,0.000000000000000000e+00
7.522717315276859829e+00,-6.588529744520678300e+00,0.000000000000000000e+00
7.539509759543036260e+00,-6.569306857329416438e+00,0.000000000000000000e+00
7.556296007350157495e+00,-6.549991652613313065e+00,0.000000000000000000e+00
7.573071289386704485e+00,-6.530588889668893060e+00,0.000000000000000000e+00
7.589831311788024948e+00,-6.511102875750164998e+00,0.000000000000000000e+00
7.606572207743206526e+00,-6.491537510358284635e+00,0.000000000000000000e+00
7.623290494011476071e+00,-6.471896325182770582e+00,0.000000000000000000e+00
7.639983031853438078e+00,-6.452182520123834308e+00,0.000000000000000000e+00
7.656646991931607360e+00,-6.432398995782574680e+00,0.000000000000000000e+00
7.673279822779262460e+00,-6.412548382767076838e+00,0.000000000000000000e+00
7.689879222476703191e+00,-6.392633068127802964e+00,0.000000000000000000e+00
7.706443113210252882e+00,-6.372655219204493626e+00,0.000000000000000000e+00
7.722969618421828386e+00,-6.352616805138918465e+00,0.000000000000000000e+00
7.739457042286438160e+00,-6.332519616282514363e+00,0.000000000000000000e+00
7.755903851281314765e+00,-6.312365281705397457e+00,0.000000000000000000e+00
7.772308657634225959e+00,-6.292155284992898778e+00,0.000000000000000000e+00
7.788670204460079738e+00,-6.271890978497297375e+00,0.000000000000000000e+00
7.804987352414069157e+00,-6.251573596196115190e+00,0.000000000000000000e+00
7.821259067707092782e+00,-6.231204265293312616e+00,0.000000000000000000e+00
7.837484411344836310e+00,-6.210784016686353937e+00,0.000000000000000000e+00
7.853662529465816888e+00,-6.190313794410149839e+00,0.000000000000000000e+00
7.869792644666496528e+00,-6.169794464157870806e+00,0.000000000000000000e+00
7.885874048212833110e+00,-6.149226820968904050e+00,0.000000000000000000e+00
7.901906093047907476e+00,-6.128611596165345787e+00,0.000000000000000000e+00
7.917888187514399156e+00,-6.107949463610511387e+00,0.000000000000000000e+00
7.933819789719033011e+00,-6.087241045355657576e+00,0.000000000000000000e+00
7.949700402473414584e+00,-6.066486916734761259e+00,0.000000000000000000e+00
7.965529568752468315e+00,-6.045687610961230085e+00,0.000000000000000000e+00
7.981306867617586676e+00,-6.024843623275240923e+00,0.000000000000000000e+00
7.997031910557046430e+00,-6.003955414685581360e+00,0.000000000000000000e+00
8.012704338201050547e+00,-5.983023415345627427e+00,0.000000000000000000e+00
8.028323817373129501e+00,-5.962048027599184508e+00,0.000000000000000000e+00
8.043890038443482382e+00,-5.941029628728485612e+00,0.000000000000000000e+00
8.059402712953440684e+00,-5.919968573433369130e+00,0.000000000000000000e+00
8.074861571483300082e+00,-5.898865196067989203e+00,0.000000000000000000e+00
8.090266361738647660e+00,-5.877719812658654952e+00,0.000000000000000000e+00
8.105616846832795375e+00,-5.856532722724288043e+00,0.000000000000000000e+00
8.120912803745305553e+00,-5.835304210918703660e+00,0.000000000000000000e+00
8.136154021938569514e+00,-5.814034548512145406e+00,0.000000000000000000e+00
8.151340302116246050e+00,-5.792723994727819736e+00,0.000000000000000000e+00
8.166471455109061139e+00,-5.771372797947545763e+00,0.000000000000000000e+00
8.181547300874916218e+00,-5.749981196799375027e+00,0.000000000000000000e+00
8.196567667601604157e+00,-5.728549421138653841e+00,0.000000000000000000e+00
8.211532390901631118e+00,-5.707077692932989166e+00,0.000000000000000000e+00
8.226441313089676299e+00,-5.685566227060538047e+00,0.000000000000000000e+00
8.241294282534287419e+00,-5.664015232029981917e+00,0.000000000000000000e+00
8.256091153076143385e+00,-5.642424910629989299e+00,0.000000000000000000e+00
8.270831783506073620e+00,-5.620795460514974806e+00,0.000000000000000000e+00
8.285516037096757103e+00,-5.599127074733385001e+00,0.000000000000000000e+00
8.300143781182535818e+00,-5.577419942204179470e+00,0.000000000000000000e+00
8.314714886782439862e+00,-5.555674248146526217e+00,0.000000000000000000e+00
8.329229228261992191e+00,-5.533890174467336109e+00,0.000000000000000000e+00
8.343686683029815754e+00,-5.512067900110709573e+00,0.000000000000000000e+00
8.358087131265479641e+00,-5.490207601373047197e+00,0.000000000000000000e+00
8.372430455675329952e+00,-5.468309452187227748e+00,0.000000000000000000e+00
8.386716541273539605e+00,-5.446373624378775702e+00,0.000000000000000000e+00
8.400945275185662808e+00,-5.424400287896874673e+00,0.000000000000000000e+00
8.415116546472479087e+00,-5.402389611022617721e+00,0.000000000000000000e+00
8.429230245972002322e+00,-5.380341760556738073e+00,0.000000000000000000e+00
8.443286266157786102e+00,-5.358256901988864840e+00,0.000000000000000000e+00
8.457284501011892885e+00,-5.336135199650024141e+00,0.000000000000000000e+00
8.471224845910953150e+00,-5.313976816850157547e+00,0.000000000000000000e+00
8.485107197524046185e+00,-5.291781916001982999e+00,0.000000000000000000e+00
8.498931453721120022e+00,-5.269550658732659265e+00,0.000000000000000000e+00
8.512697513490916634e+00,-5.247283205984365040e+00,0.000000000000000000e+00
8.526405276867397021e+00,-5.224979718104922455e+00,0.000000000000000000e+00
8.540054644863808164e+00,-5.202640354929418010e+00,0.000000000000000000e+00
8.553645519413588971e+00,-5.180265275853721540e+00,0.000000000000000000e+00
8.567177803317443718e+00,-5.157854639900673277e+00,0.000000000000000000e+00
8.580651400195907996e+00,-5.135408605779678837e+00,0.000000000000000000e+00
8.594066214446870688e+00,-5.112927331940366749e+00,0.000000000000000000e+00
8.607422151207535066e+00,-5.090410976620834305e+00,0.000000000000000000e+00
