gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.199661426267226716e+01,1.200038440139786644e+02,1.372357769448659859e+01,9.201173610305623640e+00,-4.104234539264047577e+00,-1.930861443646981861e-03
3.199673427305122431e+01,1.200038477401015200e+02,-2.636426547919984209e+00,9.329619962664191135e+00,-3.800579863744931508e+00,9.906430609746913474e-02
3.199662755010945148e+01,1.200037395343639730e+02,-1.240474955668128132e+01,9.440234857686649050e+00,-3.568003093956189531e+00,1.104141378179527150e-01
3.199675714700491369e+01,1.200038237235440164e+02,2.966810067588827593e+00,9.444910243684574880e+00,-3.226926543044055240e+00,5.550304762080196519e-02
3.199671502779563781e+01,1.200038589553727064e+02,-1.078813888733402671e+00,9.576307528473124719e+00,-3.052783330333710854e+00,-3.449476045808335528e-02
3.199672631401791278e+01,1.200038353591770743e+02,9.848023009015909324e+00,9.527435825578519868e+00,-2.792646072100803067e+00,1.549893046025986425e-02
3.199672283930211947e+01,1.200038442363408109e+02,8.600755976932653368e+00,9.642740237683911531e+00,-2.555634420167491871e+00,-8.271610957355764182e-02
3.199676705402135468e+01,1.200038358618998444e+02,-5.046735534051101979e+00,9.731492721037088955e+00,-2.234298582531352384e+00,-8.612645014029501889e-02
3.199666616408804032e+01,1.200037852035686967e+02,-1.663760249895765142e+01,9.788243099548640913e+00,-2.038375462120645576e+00,-3.897098851537588587e-02
3.199677608403894524e+01,1.200037275420798721e+02,6.722424317408816741e+00,9.885926238111753861e+00,-1.790518553561726067e+00,-4.964374984736132784e-02
3.199674819343526977e+01,1.200037836275168672e+02,-5.021889614244490652e+00,9.861605856700661477e+00,-1.582403768724910842e+00,1.513334542696173624e-02
3.199677407622781189e+01,1.200038066008817168e+02,2.165875394812539767e+00,9.969777066388880726e+00,-1.311535679614451055e+00,3.016465945048285233e-02
3.199672178176811244e+01,1.200037847226510479e+02,6.177594082083999183e-01,9.955728717000281947e+00,-9.924942836189105666e-01,3.397677603731429075e-02
3.199685645505752873e+01,1.200038056035105001e+02,-8.784564121357824718e+00,9.982544448106086321e+00,-7.545029363631028385e-01,-3.835711454084367311e-02
3.199679748228504650e+01,1.200038566232462500e+02,-2.862045315205140383e+00,1.002094833793607975e+01,-4.109150703059687992e-01,-6.968222123134139301e-02
3.199685079546444300e+01,1.200038267957157814e+02,-9.338218748409921943e+00,1.002900537948797499e+01,-2.694789844773038956e-01,1.596933897817594608e-02
3.199680803846370125e+01,1.200038923327456786e+02,3.742889151836626294e+00,1.001316092184927875e+01,6.391459405943444860e-02,3.329433872369107206e-02
3.199687519687960346e+01,1.200037516925928429e+02,6.889806224185774930e+00,9.986981543812561313e+00,3.729428268915378486e-01,7.994666090602842168e-02
3.199694287201802823e+01,1.200037298784363884e+02,1.271304582477866063e+01,9.967832999297714380e+00,5.957168316982429657e-01,5.462573081667305985e-02
3.199687355043568715e+01,1.200038043542279098e+02,-9.694693549401327104e+00,9.993536428053142018e+00,8.229562774883927290e-01,-4.627804609329785879e-02
3.199682054923581731e+01,1.200038005871994073e+02,-4.291216370954839654e+00,9.877224304813966071e+00,1.039506310955098156e+00,5.928263325554009727e-02
3.199682621127364612e+01,1.200038232048212734e+02,1.513605491767637190e+01,9.786099094605683391e+00,1.371587943445017332e+00,2.789447549348844646e-02
3.199682155416582319e+01,1.200037778386916756e+02,-2.614655252478132574e+00,9.884562332607581325e+00,1.572858790052593658e+00,-2.056481422374389911e-02
3.199687324863058535e+01,1.200037606805939419e+02,2.678043879163119811e+00,9.815067351187046540e+00,1.845672204336018973e+00,5.742873392980432645e-02
3.199690826633280594e+01,1.200038186558733742e+02,-1.034726469923004899e+01,9.843968955753370054e+00,2.084300872287075279e+00,7.728037539133304941e-03
3.199692860997089738e+01,1.200037754105401007e+02,4.797705309767639648e+00,9.676799739166316527e+00,2.319334423229658881e+00,3.715481576563044869e-02
3.199679144733211089e+01,1.200038291894727820e+02,4.749410856956701288e+00,9.663398512336671686e+00,2.656923608881553545e+00,9.096446189671515692e-02
3.199688550942888199e+01,1.200038294967251034e+02,4.433824692022682257e+00,9.585761042853425451e+00,2.791053673547832403e+00,-7.946363083408201911e-02
3.199690973835722474e+01,1.200038382842601123e+02,-1.882320109949238329e+01,9.504864298234306119e+00,3.141860520148677782e+00,-2.110339284939631577e-02
3.199694506902469016e+01,1.200038124588933357e+02,7.169019527563009753e+00,9.417186466897440766e+00,3.328028462940154419e+00,9.295676168626235136e-02
3.199694579718773113e+01,1.200038943647297742e+02,-5.225489048039277939e-01,9.263668770617400128e+00,3.655903915648911706e+00,8.552075762054087149e-02
3.199694144861232559e+01,1.200037893238581859e+02,-2.702761514801846232e+00,9.207859869387524654e+00,3.850970051575264286e+00,2.960838628919582570e-03
3.199694601734159249e+01,1.200038233920135582e+02,8.044745500645721137e+00,9.168143902858568950e+00,4.199883327627884633e+00,-7.759231019165242771e-02
3.199691687698769016e+01,1.200038544279285304e+02,-9.206140281534402448e+00,9.017713066330360405e+00,4.349400233736767873e+00,-5.807325413272778486e-02
3.199703335231271240e+01,1.200039395412552352e+02,-2.924696331514370584e+00,8.952402612291058048e+00,4.585638381182040035e+00,-6.725102850352725203e-02
