accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-7.450569712343662774e-04,-1.030997963671234988e-02,-9.786988241124166876e+00
-4.430947817223954491e-03,-6.336394945760017577e-03,-9.796451730740299624e+00
6.684245358140564197e-03,-4.240678968462793796e-03,-9.799482407062129141e+00
-1.672005862653064062e-03,-7.874475346501779230e-03,-9.790626906623106862e+00
-5.777930832445037079e-03,-4.374814423402196423e-03,-9.801906521283662244e+00
1.626464405346671150e-03,-1.497412473204591012e-03,-9.789712592997963370e+00
4.849388658143550558e-03,1.821393724313597525e-03,-9.795483599741771741e+00
-3.035430085659370208e-03,-1.007015832996798485e-03,-9.794366155226450488e+00
4.207432720849755420e-03,3.863601755425027148e-03,-9.799173706433897735e+00
-6.308634070592154114e-03,-7.555273206851328104e-03,-9.799595102395825208e+00
-2.148231623570443557e-03,3.697833830009358749e-03,-9.795643359855272791e+00
9.137902206918204623e-03,2.535860034413055328e-03,-9.803322179380527857e+00
-1.401276299557990953e-03,-5.415500790918299778e-03,-9.793415066925332368e+00
-5.325952252501607196e-04,-1.138095190004930401e-03,-9.801529387088384837e+00
1.102177117350541975e-02,-1.449458424151754340e-03,-9.801656457729597705e+00
2.616096930307480403e-03,5.476476488983597624e-03,-9.788949106656522403e+00
-5.496431965347039691e-03,-3.190472320809521929e-03,-9.789943566420264531e+00
-7.837308149491909598e-03,-3.426276239399176499e-03,-9.797775857107783537e+00
-3.269916440409894199e-03,-1.432144758173750122e-03,-9.799853314558321316e+00
-1.059737889172158304e-02,-4.495910858187295196e-03,-9.789318829378814257e+00
-5.595193532755651268e-03,-3.718883034210931481e-03,-9.789397768393520494e+00
-1.166587850416074545e-03,1.460752825036228629e-03,-9.795691262545767941e+00
-1.562551595027587880e-03,-2.231785796622260364e-03,-9.800192816255114181e+00
-6.170999873316259298e-04,1.000027537238043669e-02,-9.797011673189443215e+00
-3.427643295443278965e-03,-1.663034574128652906e-03,-9.792186884435766459e+00
