ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,2.617180506355585301e+00,-9.795458698654927687e+00
0.000000000000000000e+00,2.617185046698197404e+00,-9.795455918488084279e+00
0.000000000000000000e+00,2.617189130770388950e+00,-9.795453133983674121e+00
0.000000000000000000e+00,2.617192804195920264e+00,-9.795450345161251349e+00
0.000000000000000000e+00,2.617196108036192737e+00,-9.795447552040354111e+00
0.000000000000000000e+00,2.617199079246481652e+00,-9.795444754640504570e+00
0.000000000000000000e+00,2.617201751086550843e+00,-9.795441952981216005e+00
0.000000000000000000e+00,2.617204153490201080e+00,-9.795439147082005249e+00
0.000000000000000000e+00,2.617206313397870687e+00,-9.795436336962378476e+00
0.000000000000000000e+00,2.617208255055970767e+00,-9.795433522641854296e+00
0.000000000000000000e+00,2.617210000286281257e+00,-9.795430704139947764e+00
0.000000000000000000e+00,2.617211568728427640e+00,-9.795427881476181042e+00
0.000000000000000000e+00,2.617212978058080619e+00,-9.795425054670085174e+00
0.000000000000000000e+00,2.617214244183365235e+00,-9.795422223741208967e+00
0.000000000000000000e+00,2.617215381421605258e+00,-9.795419388709099451e+00
0.000000000000000000e+00,2.617216402658411489e+00,-9.795416549593332078e+00
0.000000000000000000e+00,2.617217319490845906e+00,-9.795413706413484078e+00
0.000000000000000000e+00,2.617218142356281696e+00,-9.795410859189157549e+00
0.000000000000000000e+00,2.617218880648370938e+00,-9.795408007939970574e+00
0.000000000000000000e+00,2.617219542821415779e+00,-9.795405152685553674e+00
0.000000000000000000e+00,2.617220136484301296e+00,-9.795402293445562236e+00
0.000000000000000000e+00,2.617220668485044754e+00,-9.795399430239662308e+00
0.000000000000000000e+00,2.617221144986871195e+00,-9.795396563087553687e+00
0.000000000000000000e+00,2.617221571536705316e+00,-9.795393692008948605e+00
0.000000000000000000e+00,2.617221953126789735e+00,-9.795390817023578833e+00
0.000000000000000000e+00,2.617222294250161951e+00,-9.795387938151201013e+00
0.000000000000000000e+00,2.617222598950570855e+00,-9.795385055411591324e+00
0.000000000000000000e+00,2.617222870867405682e+00,-9.795382168824550817e+00
0.000000000000000000e+00,2.617223113276132551e+00,-9.795379278409903634e+00
0.000000000000000000e+00,2.617223329124688469e+00,-9.795376384187493457e+00
0.000000000000000000e+00,2.617223521066229797e+00,-9.795373486177187061e+00
0.000000000000000000e+00,2.617223691488615778e+00,-9.795370584398879643e+00
0.000000000000000000e+00,2.617223842540933987e+00,-9.795367678872484163e+00
0.000000000000000000e+00,2.617223976157379894e+00,-9.795364769617936673e+00
0.000000000000000000e+00,2.617224094078745900e+00,-9.795361856655199873e+00
0.000000000000000000e+00,2.617224197871759639e+00,-9.795358940004264880e+00
0.000000000000000000e+00,2.617224288946494060e+00,-9.795356019685133475e+00
0.000000000000000000e+00,2.617224368572028226e+00,-9.795353095717842962e+00
0.000000000000000000e+00,2.617224437890551592e+00,-9.795350168122446632e+00
0.000000000000000000e+00,2.617224497930051186e+00,-9.795347236919022649e+00
0.000000000000000000e+00,2.617224549615728701e+00,-9.795344302127681146e+00
0.000000000000000000e+00,2.617224593780283382e+00,-9.795341363768542919e+00
0.000000000000000000e+00,2.617224631173162397e+00,-9.795338421861758960e+00
0.000000000000000000e+00,2.617224662468879526e+00,-9.795335476427505128e+00
0.000000000000000000e+00,2.617224688274518485e+00,-9.795332527485978602e+00
0.000000000000000000e+00,2.617224709136467542e+00,-9.795329575057404980e+00
0.000000000000000000e+00,2.617224725546494657e+00,-9.795326619162018744e+00
0.000000000000000000e+00,2.617224737947204893e+00,-9.795323659820095230e+00
0.000000000000000000e+00,2.617224746736959595e+00,-9.795320697051920433e+00
0.000000000000000000e+00,2.617224752274303068e+00,-9.795317730877812323e+00
0.000000000000000000e+00,2.617224754881935844e+00,-9.795314761318104857e+00
0.000000000000000000e+00,2.617224754850312252e+00,-9.795311788393155084e+00
0.000000000000000000e+00,2.617224752440849844e+00,-9.795308812123348474e+00
0.000000000000000000e+00,2.617224747888843961e+00,-9.795305832529090040e+00
0.000000000000000000e+00,2.617224741406078525e+00,-9.795302849630806108e+00
0.000000000000000000e+00,2.617224733183173058e+00,-9.795299863448944322e+00
0.000000000000000000e+00,2.617224723391703201e+00,-9.795296874003977194e+00
0.000000000000000000e+00,2.617224712186100977e+00,-9.795293881316403883e+00
0.000000000000000000e+00,2.617224699705374746e+00,-9.795290885406734205e+00
0.000000000000000000e+00,2.617224686074644424e+00,-9.795287886295509949e+00
0.000000000000000000e+00,2.617224671406539027e+00,-9.795284884003290671e+00
0.000000000000000000e+00,2.617224655802437461e+00,-9.795281878550651911e+00
0.000000000000000000e+00,2.617224639353599613e+00,-9.795278869958204737e+00
0.000000000000000000e+00,2.617224622142173995e+00,-9.795275858246574430e+00
0.000000000000000000e+00,2.617224604242110786e+00,-9.795272843436396926e+00
0.000000000000000000e+00,2.617224585719984287e+00,-9.795269825548347242e+00
0.000000000000000000e+00,2.617224566635725669e+00,-9.795266804603111055e+00
0.000000000000000000e+00,2.617224547043289995e+00,-9.795263780621397132e+00
0.000000000000000000e+00,2.617224526991251743e+00,-9.795260753623937333e+00
0.000000000000000000e+00,2.617224506523348371e+00,-9.795257723631475955e+00
0.000000000000000000e+00,2.617224485678956825e+00,-9.795254690664785713e+00
0.000000000000000000e+00,2.617224464493533187e+00,-9.795251654744664194e+00
0.000000000000000000e+00,2.617224442999007028e+00,-9.795248615891912536e+00
0.000000000000000000e+00,2.617224421224129571e+00,-9.795245574127365629e+00
0.000000000000000000e+00,2.617224399194793438e+00,-9.795242529471876125e+00
0.000000000000000000e+00,2.617224376934319974e+00,-9.795239481946316218e+00
0.000000000000000000e+00,2.617224354463713709e+00,-9.795236431571570535e+00
0.000000000000000000e+00,2.617224331801896398e+00,-9.795233378368552124e+00
0.000000000000000000e+00,2.617224308965913071e+00,-9.795230322358190023e+00
0.000000000000000000e+00,2.617224285971124331e+00,-9.795227263561432807e+00
0.000000000000000000e+00,2.617224262831366222e+00,-9.795224201999248592e+00
0.000000000000000000e+00,2.617224239559112320e+00,-9.795221137692625035e+00
