mag_x (uT),mag_y (uT),mag_z (uT)
2.552501784837674492e+01,2.054069483540953556e+01,3.753326001823928237e+01
2.554291302546934972e+01,2.055253377564197947e+01,3.754301533687812054e+01
2.554635998854244505e+01,2.053665863243398704e+01,3.752570522620521842e+01
2.555006160538198046e+01,2.054395218493502995e+01,3.752486197699003156e+01
2.553414881993314012e+01,2.054171646371211324e+01,3.754747380434042725e+01
2.553785752223698324e+01,2.054313843064394973e+01,3.752118120829279491e+01
2.552961165628368434e+01,2.054282150550634967e+01,3.752884371017754006e+01
2.555403072744812931e+01,2.054633666682915916e+01,3.753280498948547006e+01
2.553389366001150762e+01,2.054415451800759129e+01,3.752590584108745730e+01
2.553042203809265231e+01,2.052105524724601793e+01,3.750957405082291274e+01
2.553576325026528693e+01,2.054108246301196772e+01,3.752612263500685685e+01
2.553989433863566916e+01,2.052296088756346037e+01,3.752273484368989642e+01
2.555789492269873264e+01,2.049646289639461827e+01,3.754240143373207417e+01
2.558838355359060657e+01,2.047493669136811434e+01,3.752818553024816595e+01
2.562513775098732438e+01,2.044388411439456021e+01,3.751674851373667252e+01
2.562897939354093424e+01,2.042106507966824580e+01,3.753472721386418698e+01
2.564776452546986008e+01,2.038410124868195439e+01,3.751388558002830820e+01
2.569097671861933563e+01,2.035155776399292549e+01,3.753681149106748904e+01
2.570837722092266731e+01,2.031828418690959026e+01,3.753173028453599613e+01
2.578557137334605187e+01,2.024152365640297191e+01,3.753329215187039125e+01
2.578623705545950529e+01,2.021722097987655076e+01,3.753987523977887264e+01
2.581873609958560323e+01,2.015402787276430630e+01,3.752953017338099784e+01
2.587392248730295563e+01,2.010966927013945593e+01,3.751903525062174083e+01
2.592879609377116168e+01,2.007040784183417159e+01,3.752606780265801234e+01
2.595510372279684574e+01,2.002227083387668927e+01,3.751550584895070983e+01
2.598521791061597597e+01,1.996924523588969080e+01,3.754810013465534979e+01
2.603713486082550332e+01,1.990488256983949711e+01,3.752865816750438199e+01
2.607754524152783304e+01,1.982926011337130134e+01,3.752199057838563334e+01
2.614070695123479737e+01,1.978986142898817846e+01,3.753113547226720215e+01
2.616169117062349159e+01,1.971883130940792128e+01,3.753027225155958746e+01
2.621817510891744973e+01,1.967701745450923667e+01,3.751319980457129333e+01
2.628107640117703880e+01,1.958844676506906879e+01,3.753123953205811603e+01
2.630291204233394353e+01,1.953089862389983011e+01,3.753674879899455874e+01
2.636795571376851655e+01,1.946840415198177965e+01,3.751289297327321748e+01
2.640330108055217906e+01,1.943149937166446861e+01,3.753076547296106469e+01
2.645950517613391639e+01,1.934083781034755845e+01,3.754897222958845049e+01
2.652073269368945319e+01,1.929593712665948857e+01,3.752238168593724765e+01
2.657026573343328479e+01,1.920937461430922610e+01,3.752231553313235679e+01
2.657671306324702343e+01,1.914258505359614659e+01,3.753281249148187726e+01
2.663695876063864887e+01,1.905661782599608145e+01,3.751591924163594172e+01
2.668071151848061362e+01,1.901942204289299454e+01,3.752268154544783130e+01
2.673507237928529534e+01,1.895082285251879028e+01,3.753330456480175314e+01
2.678885601188247279e+01,1.889226141090108513e+01,3.753364483322658174e+01
2.683981423883257378e+01,1.880077007344157280e+01,3.753086819851965572e+01
2.688734260744847404e+01,1.876238231170539450e+01,3.752420953884602994e+01
2.692043607500641045e+01,1.867206881943465646e+01,3.754183372838301835e+01
2.698057052613075868e+01,1.860197505365973569e+01,3.751623108530991857e+01
2.702443982605515771e+01,1.853160456277027990e+01,3.752667253275652115e+01
2.707785812485126442e+01,1.843965574143904718e+01,3.753008398612254126e+01
2.711985190036887516e+01,1.839567800763575534e+01,3.752885570312320596e+01
2.717262029673268842e+01,1.832774255667381169e+01,3.753813925432626775e+01
2.721601819015829449e+01,1.825108041105641732e+01,3.753895597434051012e+01
2.728276809765980460e+01,1.819112423559340996e+01,3.753881255840370557e+01
2.730507654202259360e+01,1.811621330242754624e+01,3.752251318294904792e+01
2.734523314214949608e+01,1.802761125015138077e+01,3.750985031932033564e+01
2.740705548274628356e+01,1.797607861349378311e+01,3.753679013076959592e+01
2.745288598189574003e+01,1.790473355397819333e+01,3.752331083892899954e+01
2.748867124823823360e+01,1.783372520041579179e+01,3.752627275067043655e+01
2.757041136811008997e+01,1.775902643999734920e+01,3.752094127735093565e+01
2.759383718708715350e+01,1.768284547049639244e+01,3.752117127717217926e+01
2.764459910439295598e+01,1.760760222377171758e+01,3.753695350782719231e+01
2.768973853589842804e+01,1.754027400071690224e+01,3.754560313442031116e+01
2.772657402446047570e+01,1.746988629879109922e+01,3.753529133468628487e+01
2.777544324189019420e+01,1.738410756464062601e+01,3.754568791388135907e+01
2.782152172020509795e+01,1.732356713144768534e+01,3.752848831049340816e+01
2.788143596480670183e+01,1.725891654946784115e+01,3.752420450866731727e+01
2.792336382833911657e+01,1.718589200118259086e+01,3.753382283887874138e+01
2.794961936444974526e+01,1.711816684886638740e+01,3.754312170547078154e+01
2.800338832742867368e+01,1.702251688923422890e+01,3.754389142582233774e+01
2.805611591283864925e+01,1.695062150827583380e+01,3.752449598562238009e+01
2.810718581634225899e+01,1.687508823688014559e+01,3.754716872668785754e+01
2.813579467907053200e+01,1.682616060141422665e+01,3.750552721124843458e+01
2.817954685436891538e+01,1.673445964417920351e+01,3.753875876307387216e+01
2.822209318884240048e+01,1.665089777974481677e+01,3.752646641476479772e+01
2.826398427407837133e+01,1.661223912161141669e+01,3.753619036694350086e+01
2.830047180309436428e+01,1.650650411186908428e+01,3.752820221000341405e+01
2.835712399135227102e+01,1.646571740063661338e+01,3.755073493557227948e+01
2.840235467167049421e+01,1.636631536479420390e+01,3.751841901839176785e+01
2.844180078001624068e+01,1.630811005231894484e+01,3.753299702648608616e+01
2.847230854857159699e+01,1.622659459133991788e+01,3.752348892501046151e+01
2.852478107766541271e+01,1.614098625520877306e+01,3.752287413446681086e+01
2.857275158080599908e+01,1.608026768610580248e+01,3.750072889414281718e+01
2.858268759852846586e+01,1.600428035850661246e+01,3.751337843367177527e+01
2.864853487551374656e+01,1.592100251633995178e+01,3.753603784771551943e+01
2.868310781461538994e+01,1.583378080665375442e+01,3.752313711148763531e+01
2.873311278524340295e+01,1.577100716227317712e+01,3.754082918464572316e+01
2.878780982374044228e+01,1.571149700707214514e+01,3.753031057729197073e+01
2.882863553709551141e+01,1.562039084882475493e+01,3.754256114003359102e+01
2.885291651907263955e+01,1.554133052868217746e+01,3.753971251484944816e+01
2.889526029553407938e+01,1.547032987857491193e+01,3.752525228229691123e+01
2.893063820318513280e+01,1.539034022522624845e+01,3.753211415706392984e+01
2.898634835623096606e+01,1.531546858798269994e+01,3.752110632835685067e+01
2.901664979674558609e+01,1.523952655182217342e+01,3.751557119678198404e+01
2.904757216369538142e+01,1.516337918867872503e+01,3.752663462765779911e+01
2.909135833812776184e+01,1.509622705920543417e+01,3.752509300347822574e+01
2.913682399071644724e+01,1.502007571704642253e+01,3.754353369160152454e+01
2.917413599283440817e+01,1.493613085963074916e+01,3.751788835210716400e+01
2.921244911239203290e+01,1.486077248860230071e+01,3.752935256955015575e+01
