time (sec),ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
2.00590E+02,5.8769099389978600E-01,0.0000000000000000E+00,-5.2146866531766800E-02
2.00600E+02,5.9749007687528300E-01,0.0000000000000000E+00,-5.4823425974374100E-02
2.00610E+02,6.0727559708695800E-01,0.0000000000000000E+00,-5.7587752019660400E-02
2.00620E+02,6.1704726526868800E-01,0.0000000000000000E+00,-6.0437342963046700E-02
2.00630E+02,6.2680480619694000E-01,0.0000000000000000E+00,-6.3369826640254100E-02
2.00640E+02,6.3654795846601900E-01,0.0000000000000000E+00,-6.6382953932033800E-02
2.00650E+02,6.4627647413124000E-01,0.0000000000000000E+00,-6.9474592366507800E-02
2.00660E+02,6.5599011825752000E-01,0.0000000000000000E+00,-7.2642719858804500E-02
2.00670E+02,6.6568866840361100E-01,0.0000000000000000E+00,-7.5885418619306900E-02
2.00680E+02,6.7537191406609500E-01,0.0000000000000000E+00,-7.9200869254690900E-02
2.00690E+02,6.8503965610222800E-01,0.0000000000000000E+00,-8.2587345079867000E-02
2.00700E+02,6.9469170614649700E-01,0.0000000000000000E+00,-8.6043206653800600E-02
2.00710E+02,7.0432788603234000E-01,0.0000000000000000E+00,-8.9566896547856200E-02
2.00720E+02,7.1394802722761000E-01,0.0000000000000000E+00,-9.3156934351681300E-02
2.00730E+02,7.2355197029008300E-01,0.0000000000000000E+00,-9.6811911918620400E-02
2.00740E+02,7.3313956434743700E-01,0.0000000000000000E+00,-1.0053048885015000E-01
2.00750E+02,7.4271066660462600E-01,0.0000000000000000E+00,-1.0431138821677900E-01
2.00760E+02,7.5226514188038800E-01,0.0000000000000000E+00,-1.0815339251119100E-01
2.00770E+02,7.6180286217367900E-01,0.0000000000000000E+00,-1.1205533982810000E-01
2.00780E+02,7.7132370626011200E-01,0.0000000000000000E+00,-1.1601612026422800E-01
2.00790E+02,7.8082755931791100E-01,0.0000000000000000E+00,-1.2003467253104300E-01
2.00800E+02,7.9031431258247000E-01,0.0000000000000000E+00,-1.2410998077228900E-01
2.00810E+02,7.9978386302834100E-01,0.0000000000000000E+00,-1.2824107157795900E-01
2.00820E+02,8.0923611307722000E-01,0.0000000000000000E+00,-1.3242701118605700E-01
2.00830E+02,8.1867097033040300E-01,0.0000000000000000E+00,-1.3666690286341000E-01
2.00840E+02,8.2808834732409500E-01,0.0000000000000000E+00,-1.4095988445670900E-01
2.00850E+02,8.3748816130593500E-01,0.0000000000000000E+00,-1.4530512610504800E-01
2.00860E+02,8.4687033403108800E-01,0.0000000000000000E+00,-1.4970182810531300E-01
2.00870E+02,8.5623479157631800E-01,0.0000000000000000E+00,-1.5414921892198700E-01
2.00880E+02,8.6558146417048500E-01,0.0000000000000000E+00,-1.5864655333312400E-01
2.00890E+02,8.7491028603999200E-01,0.0000000000000000E+00,-1.6319311070452300E-01
